id,age,sexe,profession
1,29,Homme,Informaticien
2,59,Femme,Médecin
3,31,Homme,Agriculteur
4,74,Femme,Artisan
5,48,Homme,Avocat
6,56,Homme,Informaticien
7,38,Femme,Commerçant
8,34,Homme,Avocat
9,31,Homme,Agriculteur
10,36,Homme,Enseignant
11,41,Femme,Artisan
12,69,Femme,Ingénieur
13,71,Femme,Commerçant
14,69,Homme,Artisan
15,71,Homme,Enseignant
16,49,Femme,Ingénieur
17,72,Femme,Étudiant
18,79,Homme,Médecin
19,41,Homme,Artisan
20,38,Femme,Médecin
21,19,Homme,Agriculteur
22,36,Homme,Étudiant
23,61,Homme,Agriculteur
24,36,Homme,Étudiant
25,22,Homme,Étudiant
26,35,Femme,Enseignant
27,78,Homme,Informaticien
28,64,Homme,Artisan
29,58,Homme,Artisan
30,39,Homme,Médecin
31,39,Homme,Ingénieur
32,80,Homme,Agriculteur
33,73,Femme,Médecin
34,44,Homme,Commerçant
35,49,Femme,Étudiant
36,60,Femme,Enseignant
37,62,Femme,Retraité
38,34,Femme,Agriculteur
39,64,Femme,Enseignant
40,25,Homme,Médecin
41,49,Femme,Commerçant
42,18,Femme,Avocat
43,56,Homme,Commerçant
44,30,Femme,Artisan
45,68,Homme,Médecin
46,37,Homme,Enseignant
47,29,Femme,Agriculteur
48,35,Femme,Avocat
49,39,Femme,Agriculteur
50,69,Femme,Ingénieur
51,74,Homme,Enseignant
52,40,Femme,Retraité
53,26,Homme,Étudiant
54,45,Femme,Agriculteur
55,55,Femme,Retraité
56,76,Femme,Retraité
57,24,Femme,Enseignant
58,62,Homme,Étudiant
59,75,Femme,Étudiant
60,43,Femme,Commerçant
61,60,Femme,Étudiant
62,29,Homme,Médecin
63,26,Homme,Ingénieur
64,75,Femme,Retraité
65,38,Homme,Enseignant
66,46,Homme,Retraité
67,78,Homme,Informaticien
68,73,Homme,Étudiant
69,30,Homme,Avocat
70,43,Femme,Médecin
71,61,Homme,Agriculteur
72,48,Homme,Retraité
73,59,Homme,Médecin
74,26,Homme,Avocat
75,19,Homme,Médecin
76,43,Homme,Enseignant
77,28,Homme,Informaticien
